,company_name,company_number,date_filed,doc_type,description,made_up_to,ixbrl,current_year,previous_year
83,ANYCAKE.COM LTD,NI618177,18 Dec 2019,AA,Total exemption full accounts,31 March 2019,Yes,2019.0,2018.0
84,ANYCAKE.COM LTD,NI618177,21 Dec 2018,AA,Total exemption full accounts,31 March 2018,Yes,2018.0,2017.0
85,ANYCAKE.COM LTD,NI618177,13 Dec 2017,AA,Unaudited abridged accounts,31 March 2017,Yes,2017.0,2016.0
86,ANYCAKE.COM LTD,NI618177,20 Dec 2016,AA,Total exemption small company accounts,31 March 2016,Yes,2016.0,2015.0
87,ANYCAKE.COM LTD,NI618177,17 Dec 2015,AA,Total exemption small company accounts,31 March 2015,Yes,2015.0,2014.0
88,ANYCAKE.COM LTD,NI618177,06 Jan 2015,AA,Total exemption small company accounts,31 March 2014,No,2014.0,2013.0
89,MOF TECHNOLOGIES LIMITED,NI612857,18 May 2020,AA,Total exemption full accounts,31 December 2019,Yes,2019.0,2018.0
90,MOF TECHNOLOGIES LIMITED,NI612857,23 Aug 2019,AA,Total exemption full accounts,31 December 2018,Yes,2018.0,2017.0
91,MOF TECHNOLOGIES LIMITED,NI612857,31 Oct 2018,AA,Micro company accounts,31 December 2017,Yes,2017.0,2016.0
92,MOF TECHNOLOGIES LIMITED,NI612857,25 Sep 2017,AA,Micro company accounts,31 December 2016,Yes,2016.0,2015.0
93,MOF TECHNOLOGIES LIMITED,NI612857,08 Sep 2016,AA,Total exemption small company accounts,31 December 2015,Yes,2015.0,2014.0
94,MOF TECHNOLOGIES LIMITED,NI612857,30 Jul 2015,AA,Full accounts,31 December 2014,No,2014.0,2013.0
95,MOF TECHNOLOGIES LIMITED,NI612857,07 May 2014,AA,Full accounts,23 November 2013,No,2013.0,2012.0
96,AMPLIPHAE LTD,NI625264,24 Jun 2020,AA,Unaudited abridged accounts,31 July 2019,Yes,2019.0,2018.0
97,AMPLIPHAE LTD,NI625264,22 Oct 2018,AA,Unaudited abridged accounts,31 July 2018,Yes,2018.0,2017.0
98,AMPLIPHAE LTD,NI625264,26 Mar 2018,AA,Audited abridged accounts,31 July 2017,No,2017.0,2016.0
99,AMPLIPHAE LTD,NI625264,24 Mar 2017,AA,Total exemption small company accounts,31 July 2016,Yes,2016.0,2015.0
100,AMPLIPHAE LTD,NI625264,23 Dec 2015,AA,Accounts for a small company,31 July 2015,No,2015.0,2014.0
101,CHANNEL VISTA 1957 LIMITED,NI621060,22 Oct 2019,AA,Accounts for a dormant company,22 October 2019,Yes,2019.0,2018.0
102,CHANNEL VISTA 1957 LIMITED,NI621060,22 Oct 2018,AA,Accounts for a dormant company,22 October 2018,Yes,2018.0,2017.0
103,CHANNEL VISTA 1957 LIMITED,NI621060,23 Oct 2017,AA,Accounts for a dormant company,22 October 2017,Yes,2017.0,2016.0
104,CHANNEL VISTA 1957 LIMITED,NI621060,24 Oct 2016,AA,Accounts for a dormant company,22 October 2016,Yes,2016.0,2015.0
105,CHANNEL VISTA 1957 LIMITED,NI621060,09 Nov 2015,AA,Accounts for a dormant company,22 October 2015,Yes,2015.0,2014.0
106,CHANNEL VISTA 1957 LIMITED,NI621060,17 Nov 2014,AA,Accounts for a dormant company,22 October 2014,No,2014.0,2013.0
107,AAYI ARC I LIMITED,NI648292,12 Jun 2020,AA,Accounts for a dormant company,30 September 2019,Yes,2019.0,2018.0
108,AAYI ARC I LIMITED,NI648292,14 Jun 2019,AA,Accounts for a dormant company,30 September 2018,Yes,2018.0,2017.0
109,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,06 Sep 2019,AA,Accounts for a small company,31 December 2018,No,2018.0,2017.0
110,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,20 Sep 2018,AA,Accounts for a small company,31 December 2017,No,2017.0,2016.0
111,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,06 Oct 2017,AA,Accounts for a small company,31 December 2016,No,2016.0,2015.0
112,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,04 Oct 2016,AA,Accounts for a small company,31 December 2015,No,2015.0,2014.0
113,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,01 Oct 2015,AA,Accounts for a small company,31 December 2014,No,2014.0,2013.0
114,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,02 Oct 2014,AA,Accounts for a small company,31 December 2013,No,2013.0,2012.0
115,DISPLAYNOTE TECHNOLOGIES LIMITED,NI610261,06 Sep 2013,AA,Total exemption small company accounts,31 December 2012,No,2012.0,2011.0
116,SENSUMCO LIMITED,NI615002,13 Aug 2019,AA,Micro company accounts,31 March 2019,Yes,2019.0,2018.0
117,SENSUMCO LIMITED,NI615002,28 Jun 2018,AA,Micro company accounts,31 March 2018,Yes,2018.0,2017.0
118,SENSUMCO LIMITED,NI615002,13 Jun 2017,AA,Micro company accounts,31 March 2017,Yes,2017.0,2016.0
119,SENSUMCO LIMITED,NI615002,28 Dec 2016,AA,Total exemption small company accounts,31 March 2016,No,2016.0,2015.0
120,SENSUMCO LIMITED,NI615002,16 Sep 2015,AA,Total exemption small company accounts,31 March 2015,No,2015.0,2014.0
121,SENSUMCO LIMITED,NI615002,18 Jul 2014,AA,Total exemption small company accounts,31 March 2014,No,2014.0,2013.0
122,ORCA MONEY LIMITED,NI635108,13 Feb 2020,AA,Micro company accounts,30 November 2019,Yes,2019.0,2018.0
123,ORCA MONEY LIMITED,NI635108,28 Aug 2019,AA,Micro company accounts,30 November 2018,Yes,2018.0,2017.0
124,ORCA MONEY LIMITED,NI635108,24 Apr 2018,AA,Micro company accounts,30 November 2017,Yes,2017.0,2016.0
125,ORCA MONEY LIMITED,NI635108,09 Aug 2017,AA,Total exemption small company accounts,30 November 2016,No,2016.0,2015.0
126,AIRPOS LIMITED,NI072757,25 Apr 2020,AA,Total exemption full accounts,31 December 2019,Yes,2019.0,2018.0
127,AIRPOS LIMITED,NI072757,30 May 2019,AA,Total exemption full accounts,31 December 2018,No,2018.0,2017.0
128,AIRPOS LIMITED,NI072757,16 Mar 2018,AA,Micro company accounts,31 December 2017,Yes,2017.0,2016.0
129,AIRPOS LIMITED,NI072757,05 Jul 2017,AA,Micro company accounts,31 December 2016,Yes,2016.0,2015.0
130,AIRPOS LIMITED,NI072757,29 Apr 2016,AA,Total exemption small company accounts,31 December 2015,Yes,2015.0,2014.0
131,AIRPOS LIMITED,NI072757,17 Aug 2015,AA,Total exemption small company accounts,31 December 2014,Yes,2014.0,2013.0
132,AIRPOS LIMITED,NI072757,11 Jul 2014,AA,Total exemption small company accounts,31 December 2013,No,2013.0,2012.0
133,AIRPOS LIMITED,NI072757,17 Jun 2013,AA,Total exemption small company accounts,31 December 2012,No,2012.0,2011.0
134,AIRPOS LIMITED,NI072757,18 Aug 2012,AA,Total exemption small company accounts,31 December 2011,No,2011.0,2010.0
135,AIRPOS LIMITED,NI072757,21 Jul 2011,AA,Total exemption small company accounts,31 December 2010,No,2010.0,2009.0
136,AIRPOS LIMITED,NI072757,25 Feb 2011,AA,Total exemption small company accounts,31 May 2010,No,2010.0,2009.0
137,BREWBOT LTD,NI615974,12 Aug 2016,AA,Total exemption small company accounts,31 December 2015,Yes,2015.0,2014.0
138,BREWBOT LTD,NI615974,30 Sep 2015,AA,Total exemption small company accounts,31 December 2014,Yes,2014.0,2013.0
139,BREWBOT LTD,NI615974,17 Sep 2014,AA,Total exemption small company accounts,31 December 2013,No,2013.0,2012.0
140,YEDUP LIMITED,NI636144,31 Oct 2019,AA,Unaudited abridged accounts,31 January 2019,Yes,2019.0,2018.0
141,YEDUP LIMITED,NI636144,21 Sep 2018,AA,Total exemption full accounts,31 January 2018,Yes,2018.0,2017.0
142,YEDUP LIMITED,NI636144,20 Oct 2017,AA,Total exemption full accounts,31 January 2017,Yes,2017.0,2016.0
143,ULESKA LTD,NI636741,13 Sep 2019,AA,Unaudited abridged accounts,28 February 2019,Yes,2019.0,2018.0
144,ULESKA LTD,NI636741,11 Apr 2018,AA,Micro company accounts,28 February 2018,No,2018.0,2017.0
145,ULESKA LTD,NI636741,20 Sep 2017,AA,Micro company accounts,28 February 2017,Yes,2017.0,2016.0
146,ANALYTICS ENGINES LIMITED,NI070848,12 Jun 2020,AA,Unaudited abridged accounts,31 March 2020,Yes,2020.0,2019.0
147,ANALYTICS ENGINES LIMITED,NI070848,08 May 2019,AA,Total exemption full accounts,31 March 2019,No,2019.0,2018.0
148,ANALYTICS ENGINES LIMITED,NI070848,20 Dec 2018,AA,Total exemption full accounts,31 March 2018,No,2018.0,2017.0
149,ANALYTICS ENGINES LIMITED,NI070848,30 May 2017,AA,Total exemption full accounts,31 March 2017,No,2017.0,2016.0
150,ANALYTICS ENGINES LIMITED,NI070848,13 Dec 2016,AA,Total exemption small company accounts,31 March 2016,No,2016.0,2015.0
151,ANALYTICS ENGINES LIMITED,NI070848,15 Dec 2015,AA,Total exemption small company accounts,31 March 2015,No,2015.0,2014.0
152,ANALYTICS ENGINES LIMITED,NI070848,31 Jul 2014,AA,Total exemption small company accounts,31 March 2014,No,2014.0,2013.0
153,ANALYTICS ENGINES LIMITED,NI070848,27 Dec 2013,AA,Total exemption small company accounts,31 October 2013,No,2013.0,2012.0
154,ANALYTICS ENGINES LIMITED,NI070848,01 Aug 2013,AA,Accounts for a small company,31 October 2012,No,2012.0,2011.0
155,ANALYTICS ENGINES LIMITED,NI070848,20 Jun 2012,AA,Total exemption small company accounts,31 October 2011,No,2011.0,2010.0
156,ANALYTICS ENGINES LIMITED,NI070848,27 Jul 2011,AA,Total exemption small company accounts,31 October 2010,No,2010.0,2009.0
157,ANALYTICS ENGINES LIMITED,NI070848,02 Aug 2010,AA,Total exemption small company accounts,31 October 2009,No,2009.0,2008.0
158,ALMAC DISCOVERY LIMITED,NI046249,23 Jun 2020,AA,Full accounts,30 September 2019,No,2019.0,2018.0
159,ALMAC DISCOVERY LIMITED,NI046249,12 Jun 2019,AA,Full accounts,30 September 2018,No,2018.0,2017.0
160,ALMAC DISCOVERY LIMITED,NI046249,06 Jun 2018,AA,Full accounts,30 September 2017,No,2017.0,2016.0
161,ALMAC DISCOVERY LIMITED,NI046249,13 Jun 2017,AA,Full accounts,30 September 2016,No,2016.0,2015.0
162,ALMAC DISCOVERY LIMITED,NI046249,07 Jun 2016,AA,Full accounts,30 September 2015,No,2015.0,2014.0
163,ALMAC DISCOVERY LIMITED,NI046249,30 Apr 2015,AA,Full accounts,30 September 2014,No,2014.0,2013.0
164,ALMAC DISCOVERY LIMITED,NI046249,20 May 2014,AA,Full accounts,30 September 2013,No,2013.0,2012.0
165,ALMAC DISCOVERY LIMITED,NI046249,16 May 2013,AA,Full accounts,30 September 2012,No,2012.0,2011.0
166,ALMAC DISCOVERY LIMITED,NI046249,07 Jun 2012,AA,Full accounts,30 September 2011,No,2011.0,2010.0
167,ALMAC DISCOVERY LIMITED,NI046249,01 Mar 2011,AA,Full accounts,30 September 2010,No,2010.0,2009.0
168,ALMAC DISCOVERY LIMITED,NI046249,08 Mar 2010,AA,Full accounts,30 September 2009,No,2009.0,2008.0
169,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,24 Mar 2019,AA,Accounts for a dormant company,31 July 2018,Yes,2018.0,2017.0
170,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,13 Apr 2018,AA,Accounts for a dormant company,3 August 2017,Yes,2017.0,2016.0
171,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,09 Aug 2016,AA,Accounts for a dormant company,31 July 2016,Yes,2016.0,2015.0
172,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,06 Apr 2016,AA,Accounts for a dormant company,31 July 2015,Yes,2015.0,2014.0
173,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,22 Apr 2015,AA,Accounts for a dormant company,31 July 2014,No,2014.0,2013.0
174,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,16 Apr 2014,AA,Accounts for a dormant company,31 July 2013,No,2013.0,2012.0
175,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,25 Apr 2013,AA,Accounts for a dormant company,31 July 2012,No,2012.0,2011.0
176,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,02 Apr 2012,AA,Accounts for a dormant company,31 July 2011,No,2011.0,2010.0
177,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,06 Apr 2011,AA,Accounts for a dormant company,31 July 2010,No,2010.0,2009.0
178,ARDS LANGUAGE & LEISURE CENTRE LIMITED,NI043689,27 Apr 2010,AA,Accounts for a dormant company,31 July 2009,No,2009.0,2008.0
179,CONTINUALLY LIMITED,NI650453,20 Apr 2020,AA,Micro company accounts,31 March 2020,Yes,2020.0,2019.0
180,CONTINUALLY LIMITED,NI650453,20 Jun 2019,AA,Micro company accounts,31 March 2019,Yes,2019.0,2018.0
181,SONRAI ANALYTICS LTD,NI650803,03 Apr 2019,AA,Accounts for a dormant company,28 February 2019,Yes,2019.0,2018.0
182,KOMODO LEARNING LTD,NI618190,12 Apr 2019,AA,Micro company accounts,31 December 2018,Yes,2018.0,2017.0
183,KOMODO LEARNING LTD,NI618190,27 Sep 2018,AA,Micro company accounts,31 December 2017,Yes,2017.0,2016.0
184,KOMODO LEARNING LTD,NI618190,22 Feb 2017,AA,Micro company accounts,31 December 2016,Yes,2016.0,2015.0
185,KOMODO LEARNING LTD,NI618190,31 Mar 2016,AA,Total exemption small company accounts,31 December 2015,Yes,2015.0,2014.0
186,KOMODO LEARNING LTD,NI618190,23 Sep 2015,AA,Total exemption small company accounts,31 December 2014,Yes,2014.0,2013.0
187,KOMODO LEARNING LTD,NI618190,06 Jan 2015,AA,Total exemption small company accounts,31 May 2014,No,2014.0,2013.0
188,PITCHBOOKING LTD,NI637636,30 Jan 2020,AA,Micro company accounts,30 April 2019,Yes,2019.0,2018.0
189,PITCHBOOKING LTD,NI637636,18 Jan 2019,AA,Micro company accounts,30 April 2018,Yes,2018.0,2017.0
190,PITCHBOOKING LTD,NI637636,05 Jan 2018,AA,Micro company accounts,30 April 2017,Yes,2017.0,2016.0
191,BALLOO TRADE FRAMES LTD,NI610145,28 Aug 2019,AA,Micro company accounts,30 November 2018,Yes,2018.0,2017.0
192,BALLOO TRADE FRAMES LTD,NI610145,31 Aug 2018,AA,Micro company accounts,30 November 2017,Yes,2017.0,2016.0
193,BALLOO TRADE FRAMES LTD,NI610145,31 Aug 2017,AA,Total exemption small company accounts,30 November 2016,Yes,2016.0,2015.0
194,BALLOO TRADE FRAMES LTD,NI610145,31 Aug 2016,AA,Total exemption small company accounts,30 November 2015,Yes,2015.0,2014.0
195,BALLOO TRADE FRAMES LTD,NI610145,31 Aug 2015,AA,Total exemption small company accounts,30 November 2014,Yes,2014.0,2013.0
196,BALLOO TRADE FRAMES LTD,NI610145,29 Aug 2014,AA,Total exemption small company accounts,30 November 2013,No,2013.0,2012.0
197,BALLOO TRADE FRAMES LTD,NI610145,25 Nov 2013,AA,Total exemption small company accounts,30 November 2012,No,2012.0,2011.0
198,AEPONA LIMITED,NI036899,29 Jan 2020,AA,Accounts for a small company,31 March 2019,No,2019.0,2018.0
199,AEPONA LIMITED,NI036899,04 Mar 2019,AA,Accounts for a small company,31 March 2018,No,2018.0,2017.0
200,AEPONA LIMITED,NI036899,14 Feb 2018,AA,Full accounts,31 March 2017,No,2017.0,2016.0
201,AEPONA LIMITED,NI036899,07 Apr 2017,AA,Full accounts,31 March 2016,No,2016.0,2015.0
202,AEPONA LIMITED,NI036899,31 Dec 2015,AA,Full accounts,31 December 2014,No,2014.0,2013.0
203,AEPONA LIMITED,NI036899,02 Oct 2014,AA,Full accounts,31 December 2013,No,2013.0,2012.0
204,AEPONA LIMITED,NI036899,15 Nov 2013,AA,Full accounts,31 December 2012,No,2012.0,2011.0
205,AEPONA LIMITED,NI036899,03 Oct 2012,AA,Full accounts,31 December 2011,No,2011.0,2010.0
206,AEPONA LIMITED,NI036899,03 Oct 2011,AA,Full accounts,31 December 2010,No,2010.0,2009.0
207,AEPONA LIMITED,NI036899,01 Oct 2010,AA,Full accounts,31 December 2009,No,2009.0,2008.0
208,AEPONA LIMITED,NI036899,22 Dec 2009,AA,Full accounts,31 December 2008,No,2008.0,2007.0
209,CARRICK SERVICES GROUP LTD,NI651689,05 Dec 2019,AA,Micro company accounts,31 March 2019,Yes,2019.0,2018.0
210,1ST FOR BEDS (NI) LTD,NI644046,28 Nov 2019,AA,Micro company accounts,31 January 2019,Yes,2019.0,2018.0
211,1ST FOR BEDS (NI) LTD,NI644046,31 Oct 2018,AA,Accounts for a dormant company,28 February 2018,Yes,2018.0,2017.0
212,GGCIRCUIT LIMITED,NI632386,20 Dec 2019,AA,Micro company accounts,31 March 2019,Yes,2019.0,2018.0
213,GGCIRCUIT LIMITED,NI632386,20 Dec 2018,AA,Micro company accounts,31 March 2018,Yes,2018.0,2017.0
